Model,Exps,Avg Mean (ms),Avg Median (ms),Avg Std (ms),Avg P95 (ms),Avg FPS,Avg Size (MB)
CIF (50 trees),1,10375.89,10375.58,188.67,10686.29,0.1,85.4
InceptionTime,1,85.84,83.9,7.29,102.55,11.6,5.8
Random Forest,1,31.41,31.04,2.46,35.38,31.8,105.4
Logistic Regression,1,3.67,3.58,0.26,4.26,272.6,0.7
