Experiment,Model,n_samples,Acc (point),Acc CI low,Acc CI high,F1 (point),F1 CI low,F1 CI high
154-class,InceptionTime,309,0.32346925566343043,0.27184466019417475,0.37540453074433655,0.26123380352000036,0.22041713572042726,0.3020671105632907
154-class,Random Forest,309,0.20375404530744337,0.15857605177993528,0.24919093851132687,0.155796363728852,0.12621820838454048,0.18745630524149656
154-class,Logistic Regression,309,0.2462265372168285,0.20064724919093851,0.2945792880258899,0.1933040566030224,0.15664593872641816,0.23103814209417656
154-class,CIF,309,0.05824595469255664,0.032362459546925564,0.08737864077669903,0.03816429946159223,0.020407590515545065,0.05513653700227644
