Model,Status,Top-1 Accuracy,Top-1 Accuracy_raw,Top-5 Accuracy,Top-5 Accuracy_raw,Precision (mac),Precision (mac)_raw,Recall (mac),Recall (mac)_raw,F1 Macro,F1 Macro_raw,F1 Weighted,F1 Weighted_raw,AUC (macro),AUC (macro)_raw
InceptionTime,available,32.36%,0.32362459546925565,60.52%,0.6051779935275081,33.12%,0.3312203669346526,32.58%,0.32575757575757575,29.85%,0.29850218324244293,30.13%,0.30133536007322415,91.96%,0.9196241860616907
Random Forest,available,20.39%,0.20388349514563106,41.75%,0.4174757281553398,19.08%,0.19075448361162645,20.78%,0.2077922077922078,17.88%,0.17879818594104305,17.98%,0.17977089433400112,83.27%,0.8327079886012906
Logistic Regression,available,24.60%,0.2459546925566343,49.84%,0.49838187702265374,23.96%,0.2396103896103896,24.78%,0.24783549783549783,22.42%,0.22415917415917416,22.54%,0.22541105065376912,89.80%,0.8979900417856264
CIF,available,5.83%,0.05825242718446602,20.39%,0.20388349514563106,4.25%,0.04249857285571571,5.41%,0.054112554112554105,4.31%,0.04313332771124979,4.54%,0.04542500828908596,58.55%,0.5855350976157072
