Model,Accuracy,Top-5 Acc,F1 Macro,F1 Weighted,Precision,Recall,AUC,N Classes,N Test,Model MB
InceptionTime,0.32362459546925565,0.6051779935275081,0.29850218324244293,0.30133536007322415,0.3312203669346526,0.32575757575757575,0.9196241860616907,154,309,5.84
Random Forest,0.20388349514563106,0.4174757281553398,0.17879818594104305,0.17977089433400112,0.19075448361162645,0.2077922077922078,0.8327079886012906,154,309,105.35
Logistic Regression,0.2459546925566343,0.49838187702265374,0.22415917415917416,0.22541105065376912,0.2396103896103896,0.24783549783549783,0.8979900417856264,154,309,0.74
CIF,0.05825242718446602,0.20388349514563106,0.04313332771124979,0.04542500828908596,0.04249857285571571,0.054112554112554105,0.5855350976157072,154,309,85.44
