Experiment,Model A,Model B,Acc A,Acc B,Higher acc,McNemar stat,p-value,Sig (α=0.05),Sig (Bonf α=0.0083),Cohen's h,Effect size
154-class,InceptionTime,Random Forest,0.32362459546925565,0.20388349514563106,InceptionTime,17.28,1.4836899336372366e-05,YES,YES,0.273318046015099,medium
154-class,InceptionTime,Logistic Regression,0.32362459546925565,0.2459546925566343,InceptionTime,6.9605263157894735,0.005870707889737196,YES,YES,0.17245721503402178,small
154-class,InceptionTime,CIF,0.32362459546925565,0.05825242718446602,InceptionTime,64.32352941176471,5.198609903817747e-18,YES,YES,0.7227624685876539,large
154-class,Random Forest,Logistic Regression,0.20388349514563106,0.2459546925566343,Logistic Regression,2.823529411764706,0.07039422106706225,NO,NO,-0.10086083098107723,small
154-class,Random Forest,CIF,0.20388349514563106,0.05825242718446602,Random Forest,29.784615384615385,6.901424055611063e-09,YES,YES,0.44944442257255485,medium
154-class,Logistic Regression,CIF,0.2459546925566343,0.05825242718446602,Logistic Regression,42.75,2.4488215083103315e-12,YES,YES,0.5503052535536321,large
