Experiment,Model,n_samples,Acc (point),Acc CI low,Acc CI high,F1 (point),F1 CI low,F1 CI high
154-class,InceptionTime,309,0.32351132686084144,0.2750809061488673,0.37216828478964403,0.2609078736383296,0.22023286959986013,0.3068076503852669
154-class,Random Forest,309,0.20331391585760517,0.16181229773462782,0.2524271844660194,0.15543986106313126,0.12510385109648758,0.18558792371205338
154-class,Logistic Regression,309,0.245495145631068,0.20064724919093851,0.2977346278317152,0.19325056815271296,0.15797010429959216,0.2304742665768709
154-class,CIF,309,0.05854045307443366,0.032362459546925564,0.08737864077669903,0.038171513624334186,0.021336172458499277,0.05514866348709229
